date,BPL,CDLX,VFF,YELP,PBYI,TRXC
2017-05-22,54.5947,,1.26,28.29,52.6,0.525
2017-05-23,55.0952,,1.25,27.78,57.8,0.5312
2017-05-24,54.5701,,1.26,27.78,74.95,0.5082
2017-05-25,54.2091,,,28.07,78.05,0.48
2017-05-26,53.4542,,1.3263,27.65,79.75,0.4703
2017-05-30,52.5763,,,27.73,76.9,0.4652
2017-05-31,52.5107,,,27.92,76.5,0.474
2017-06-01,53.0276,,1.3465,28.83,81.65,0.5181
2017-06-02,52.7732,,1.3474,28.79,81.95,0.5404
2017-06-05,52.9127,,1.4,30.09,83.65,0.5114
2017-06-06,52.7486,,1.4049,29.6,82.35,0.51
2017-06-07,52.1661,,1.8021,30.21,79.55,0.48
2017-06-08,51.9199,,1.62,30.43,80.9,0.4862
2017-06-09,52.1415,,1.5555,29.8,79.95,0.488
2017-06-12,51.9774,,1.689,30.72,79.2,0.47
2017-06-13,51.6164,,1.6932,30.72,77.9,0.4803
2017-06-14,50.5415,,1.746,30.55,79.55,0.484
2017-06-15,50.1559,,1.7558,30.63,78.5,0.52
2017-06-16,50.3282,,1.7431,30.15,77.9,0.52
2017-06-19,50.3528,,1.8,30.28,80.4,0.6843
2017-06-20,49.5406,,1.78,29.44,78.5,0.6458
2017-06-21,49.319,,1.7536,29.36,80.25,0.6877
2017-06-22,49.557,,1.7166,29.96,86.45,0.7525
2017-06-23,50.8287,,1.723,30.88,87.5,0.676
2017-06-26,51.7476,,1.75,30.03,87.75,0.6955
2017-06-27,51.2554,,1.7586,29.4,84.85,0.6956
2017-06-28,51.682,,1.74,30.15,88.85,0.7023
2017-06-29,51.682,,1.71,29.89,86.75,0.69
2017-06-30,52.4533,,1.68,30.02,87.4,0.71
2017-07-03,53.6594,,,30.07,87.85,0.69
2017-07-05,53.0112,,1.67,30.29,87.85,0.6888
2017-07-06,52.5599,,1.62,29.33,86.45,0.623
2017-07-07,52.9702,,1.68,29.55,87.05,0.6893
2017-07-10,52.4615,,1.67,30.16,85.85,0.69
2017-07-11,52.2399,,1.62,31.11,86.9,0.697
2017-07-12,52.683,,1.65,32.01,89.05,0.7082
2017-07-13,52.4533,,1.57,31.49,90.95,0.75
2017-07-14,54.0696,,1.5453,31.89,89.55,0.779
2017-07-17,53.2573,,1.56,31.79,86.1,0.7775
2017-07-18,53.3804,,1.5307,32.93,93.45,0.73
2017-07-19,52.8143,,1.53,32.88,95.65,0.7232
2017-07-20,52.2399,,1.5517,32.4,94.75,0.735
2017-07-21,51.9117,,1.5331,32.11,94.3,0.7351
2017-07-24,52.1333,,1.65,31.73,95.85,0.7
2017-07-25,52.7897,,1.67,32.0,95.35,0.7233
2017-07-26,52.2317,,1.65,32.45,95.3,0.7077
2017-07-27,52.1743,,1.65,32.76,96.65,0.6597
2017-07-28,52.1661,,1.6253,33.02,97.6,0.7
2017-07-31,52.0102,,1.624,32.53,95.05,0.7
2017-08-01,50.3692,,1.6474,33.22,89.95,0.655
2017-08-02,51.6656,,1.6052,32.25,89.2,0.628
2017-08-03,51.1979,,,31.37,85.85,0.6467
2017-08-04,50.3692,,1.6149,40.05,85.8,0.7284
2017-08-07,50.1805,,1.58,41.73,83.65,0.7
2017-08-08,49.2944,,1.5702,41.69,81.45,0.6994
2017-08-09,49.6472,,1.5452,41.55,79.5,0.6884
2017-08-10,48.9789,,1.5151,40.93,72.0,0.69
2017-08-11,48.518,,1.5375,42.03,78.45,0.6988
2017-08-14,48.5013,,1.531,42.53,80.05,0.707
2017-08-15,48.1829,,1.58,41.56,80.55,0.6828
2017-08-16,47.7723,,1.6,41.98,82.25,0.6848
2017-08-17,47.1186,,1.57,41.43,80.7,0.73
2017-08-18,46.6578,,1.55,41.81,79.75,0.7286
2017-08-21,45.7109,,1.5238,41.46,80.6,0.75
2017-08-22,46.1382,,1.5018,41.87,81.95,0.7586
2017-08-23,46.4567,,1.5761,42.12,82.55,0.76
2017-08-24,46.5153,,1.55,41.75,81.1,0.7751
2017-08-25,46.8086,,1.5519,42.14,82.7,0.81
2017-08-28,46.5823,,1.52,42.14,85.15,0.9342
2017-08-29,46.6578,,1.52,42.32,94.15,0.8932
2017-08-30,46.574,,1.55,42.9,92.05,0.8333
2017-08-31,47.9231,,1.55,42.6,92.5,0.86
2017-09-01,47.8561,,1.5551,42.98,93.95,1.01
2017-09-05,47.1689,,1.53,43.04,96.85,0.98
2017-09-06,46.884,,1.55,43.04,99.1,0.9962
2017-09-07,47.2611,,1.5543,43.74,107.4,1.0
2017-09-08,46.7667,,1.5849,43.75,104.25,1.12
2017-09-11,47.3617,,1.56,43.7,105.55,1.15
2017-09-12,47.2946,,1.5709,43.85,102.75,1.26
2017-09-13,47.4119,,1.5709,42.95,103.9,1.355
2017-09-14,47.613,,1.55,42.91,103.35,1.43
2017-09-15,46.8756,,1.6641,43.57,102.25,1.48
2017-09-18,46.6661,,1.95,43.5,104.95,1.49
2017-09-19,47.2024,,2.0971,43.85,103.4,1.45
2017-09-20,47.3617,,2.0995,44.17,106.8,1.24
2017-09-21,46.8924,,2.0274,43.61,104.8,1.3
2017-09-22,46.7583,,2.0999,43.42,104.5,1.26
2017-09-25,48.0907,,2.1514,41.9,105.9,1.21
2017-09-26,47.6466,,2.22,41.72,108.25,1.26
2017-09-27,46.9846,,2.2155,42.7,111.1,1.37
2017-09-28,46.8086,,2.2026,42.66,117.3,1.34
2017-09-29,47.7639,,2.1,43.3,119.75,1.43
2017-10-02,48.3421,,2.16,44.09,119.85,1.44
2017-10-03,48.6521,,2.2575,45.8,117.0,1.48
2017-10-04,48.9873,,2.24,46.07,123.0,1.51
2017-10-05,49.5236,,2.2635,46.39,124.25,1.55
2017-10-06,49.6409,,2.28,46.73,121.4,1.47
2017-10-09,48.9454,,2.26,45.63,121.175,1.485
2017-10-10,48.4678,,2.3867,44.4,122.6,1.49
2017-10-11,48.451,,2.7765,43.98,124.05,1.47
2017-10-12,47.5292,,3.0593,43.75,126.45,1.47
2017-10-13,46.8673,,3.1239,43.65,124.35,1.46
2017-10-16,46.1215,,3.0965,43.52,124.15,2.81
2017-10-17,45.2751,,3.0,43.2,124.3,4.0
2017-10-18,44.6215,,3.0196,44.58,123.55,3.69
2017-10-19,45.0908,,2.7413,44.44,121.6,3.08
2017-10-20,44.7556,,2.7336,44.52,124.65,3.47
2017-10-23,44.0182,,2.84,43.6,122.75,3.2
2017-10-24,43.6411,,2.93,43.68,123.8,3.25
2017-10-25,42.602,,2.74,44.04,121.7,3.11
2017-10-26,43.6076,,2.8046,45.0,121.8,2.86
2017-10-27,44.0349,,2.71,45.4,125.25,2.37
2017-10-30,43.75,,2.7571,47.15,128.1,2.87
2017-10-31,44.5042,,2.9015,46.72,127.3,2.96
2017-11-01,44.9651,,2.9617,46.03,126.15,2.72
2017-11-02,44.1606,,2.8678,45.98,129.95,2.86
2017-11-03,43.5992,,2.8397,46.07,130.45,2.84
