City,Country,Smart_Parking,Car_Sharing_Services,Traffic,Public_Transport,Clean_Energy,Smart_Building,Waste_Disposal,Environment_Protection,Sustainability_Index,Citizen_Participation,Digitalization_of_Goverment,Urban_Planning,Education,Business_Ecosystem,Blockchain_Ecosystem,4G_LTE,Internet_Speed,Wifi_Hotspots,Smartphone_Penetration,Cyber_Security,Living_Standard,How_the_City_is_Becoming_Smarter,Rank_Score,Code
Odense,Denmark,4.75,2.8,9.48,2.88,8.47,6.78,8.18,6.55,8.58,9.38,8.35,4.53,9.33,6.48,1.31,7.9,7.23,1.6,9.7,7.15,8.5,6.46,6.49,DNK
Aalborg,Denmark,2.58,2.05,8.73,2.88,8.47,6.78,8.18,6.33,8.58,9.23,5.95,7.08,8.58,7.38,1.31,8.2,7.83,1.83,9.7,7.15,7.98,6.46,6.25,DNK
Koge,Denmark,3.1,2.95,10.0,2.88,8.47,6.78,8.18,6.85,8.58,9.69,7.08,2.05,9.7,7.23,1.31,6.7,5.73,1.45,9.7,7.15,7.45,3.0,6.18,DNK
Copenhagen,Denmark,6.03,7.23,8.73,2.88,8.47,6.78,8.18,5.88,8.58,9.46,9.25,8.8,6.4,9.18,3.48,5.58,4.53,5.43,9.7,7.15,6.1,9.23,6.75,DNK
Aarhus,Denmark,2.65,3.33,8.73,2.88,8.47,6.78,8.18,6.1,8.58,9.62,6.7,2.28,7.83,7.6,1.31,6.1,5.05,3.25,9.7,7.15,7.23,6.46,5.93,DNK
Oulu,Finland,7.23,2.13,8.73,6.7,7.86,3.63,5.24,3.33,9.33,4.31,5.05,7.08,8.5,8.13,7.05,7.45,6.4,2.8,8.87,8.73,7.0,3.0,6.2,FIN
Turku,Finland,3.33,2.2,9.48,6.7,7.86,3.63,5.24,3.4,9.33,5.15,4.15,4.53,8.8,7.68,7.05,8.35,7.68,2.65,8.87,8.73,6.78,7.15,5.9,FIN
Vantaa,Finland,4.0,5.88,9.85,6.7,7.86,3.63,5.24,3.25,9.33,3.85,8.88,4.53,7.75,5.58,7.05,6.03,4.3,2.13,8.87,8.73,5.88,3.0,5.79,FIN
Joensuu,Finland,4.98,2.73,8.73,6.7,7.86,3.63,5.24,4.0,9.33,3.92,6.93,4.53,9.63,6.25,7.05,4.98,3.48,1.68,8.87,8.73,6.7,6.46,5.79,FIN
Jyvaskyla,Finland,1.68,2.43,7.98,6.7,7.86,3.63,5.24,3.55,9.33,4.15,8.2,4.53,9.1,5.95,7.05,8.05,7.15,1.3,8.87,8.73,6.63,3.0,5.71,FIN
Lahti,Finland,7.08,2.58,4.23,6.7,7.86,3.63,5.24,3.63,9.33,6.46,5.8,4.53,9.03,6.1,7.05,4.3,2.58,1.75,8.87,8.73,6.93,3.0,5.7,FIN
Hamenlinna,Finland,2.13,2.88,10.0,6.7,7.86,3.63,5.24,4.08,9.33,4.77,9.4,2.05,9.48,6.48,7.05,4.68,2.88,1.15,8.87,8.73,7.6,6.46,5.62,FIN
Helsinki,Finland,6.48,5.5,7.23,6.7,7.86,3.63,5.24,3.85,9.33,5.38,9.55,2.8,5.2,7.15,8.14,8.65,7.9,5.73,8.87,8.73,5.65,9.23,6.21,FIN
Espoo,Finland,2.88,5.8,9.63,6.7,7.86,3.63,5.24,4.53,9.33,5.0,8.95,2.05,8.13,8.05,7.05,7.38,6.18,2.28,8.87,8.73,5.95,6.46,5.96,FIN
Tampere,Finland,4.83,1.98,9.85,6.7,7.86,3.63,5.24,4.68,9.33,4.54,9.78,7.08,8.95,9.25,7.05,4.6,2.8,3.33,8.87,8.73,6.48,3.0,6.13,FIN
Strasbourg,France,3.25,6.1,6.33,5.65,3.82,8.35,6.29,9.25,6.55,4.62,7.68,7.08,8.05,4.98,7.05,8.28,9.1,2.58,3.65,6.7,5.2,6.46,6.15,FRA
Bordeaux,France,3.7,6.03,4.6,5.65,3.82,8.35,6.29,9.33,6.55,4.46,8.8,9.55,8.88,5.73,7.05,4.53,4.38,1.08,3.65,6.7,5.28,3.0,5.93,FRA
Nice,France,4.15,3.63,5.73,5.65,3.82,8.35,6.29,9.03,6.55,4.38,5.65,2.28,6.78,8.5,7.05,7.98,8.88,3.18,3.65,6.7,4.53,3.0,5.8,FRA
Nantes,France,2.35,4.23,7.53,5.65,3.82,8.35,6.29,9.1,6.55,4.77,8.43,5.5,7.45,6.63,7.05,6.33,6.55,1.0,3.65,6.7,5.05,3.0,5.78,FRA
Paris,France,7.15,9.93,2.88,5.65,3.82,8.35,6.29,7.53,6.55,5.31,9.33,9.48,3.55,8.58,9.61,7.9,8.43,8.73,3.65,6.7,3.7,6.46,6.61,FRA
Lyon,France,8.95,6.48,5.73,5.65,3.82,8.35,6.29,8.5,6.55,5.08,6.33,9.03,8.43,6.7,8.14,8.8,9.4,4.23,3.65,6.7,4.38,3.0,6.81,FRA
Marseille,France,7.6,4.6,2.35,5.65,3.82,8.35,6.29,7.9,6.55,4.31,2.73,1.45,6.18,3.63,8.91,5.05,4.83,3.93,3.65,6.7,4.9,6.46,5.39,FRA
Verona,Italy,3.78,1.9,9.48,2.28,6.87,7.38,7.2,8.13,4.3,7.23,7.3,7.08,7.38,3.25,7.05,7.68,7.3,3.03,4.63,3.93,4.23,3.38,5.58,ITA
Perugia,Italy,3.93,2.28,9.48,2.28,6.87,7.38,7.2,8.28,4.3,7.38,3.1,4.53,8.65,1.98,7.05,5.58,4.75,2.43,4.63,3.93,4.75,1.0,5.2,ITA
Florence,Italy,2.43,6.4,7.23,2.28,6.87,7.38,7.2,7.83,4.3,6.62,8.28,4.98,6.63,3.4,7.05,4.0,3.03,4.08,4.63,3.93,3.63,6.46,5.12,ITA
Bari,Italy,2.28,1.83,6.63,2.28,6.87,7.38,7.2,7.98,4.3,6.85,5.28,2.13,7.6,4.08,7.05,8.43,8.58,1.53,4.63,3.93,4.45,3.0,5.11,ITA
Catania,Italy,2.2,4.68,5.73,2.28,6.87,7.38,7.2,8.05,4.3,6.92,4.83,1.23,7.0,2.8,7.05,7.15,6.78,2.5,4.63,3.93,4.83,6.46,4.97,ITA
Ancona,Italy,1.45,2.65,8.73,2.28,6.87,7.38,7.2,8.8,4.3,6.46,5.5,4.53,9.18,2.13,7.05,2.95,2.05,1.38,4.63,3.93,4.6,3.0,4.86,ITA
Genova,Italy,3.48,3.4,7.98,2.28,6.87,7.38,7.2,7.68,4.3,5.77,5.43,2.5,4.83,1.53,7.05,4.23,3.4,2.88,4.63,3.93,4.3,1.08,4.64,ITA
Milan,Italy,6.55,8.13,4.98,2.28,6.87,7.83,7.2,7.15,4.3,5.62,1.83,6.63,4.68,2.35,7.05,7.3,6.93,7.53,4.63,3.93,3.48,9.23,5.41,ITA
Turin,Italy,1.9,5.35,7.53,2.28,6.87,7.83,7.2,7.45,4.3,6.08,2.05,7.53,5.5,4.68,7.05,5.13,4.0,4.45,4.63,3.93,4.68,7.15,4.99,ITA
Rome,Italy,8.73,8.35,2.35,2.28,6.87,7.83,7.2,6.93,4.3,5.92,1.38,9.1,2.65,5.2,7.05,2.58,1.68,7.6,4.63,3.93,3.55,1.0,5.13,ITA
Naples,Italy,1.3,1.45,4.23,2.28,6.87,7.83,7.2,7.38,4.3,5.54,4.75,1.3,5.35,1.9,7.05,5.8,5.13,3.7,4.63,3.93,4.15,3.38,4.38,ITA
Singapore,Singapore,7.0,6.85,3.78,9.93,1.46,6.4,9.09,3.93,1.98,10.0,3.25,3.33,1.15,8.88,7.67,9.93,10.0,9.85,9.77,10.0,8.35,10.0,6.13,SGP
Stockholm,Sweden,6.85,7.9,6.33,4.6,8.93,5.05,8.71,9.7,10.0,9.23,10.0,7.45,5.05,5.8,3.33,6.78,7.0,6.18,8.03,7.75,7.75,10.0,6.95,SWE
Gothenburg,Sweden,7.9,7.6,8.73,4.6,8.93,5.05,8.71,9.85,10.0,8.77,9.85,5.58,6.1,7.45,2.55,8.58,9.25,4.15,8.03,7.75,8.13,9.23,7.24,SWE
Vasteras,Sweden,1.23,3.18,7.98,4.6,8.93,5.05,8.71,9.93,10.0,9.0,9.03,4.53,9.93,7.98,2.55,9.25,9.7,1.98,8.03,7.75,9.18,6.46,6.78,SWE
Helsingborg,Sweden,1.38,3.48,7.98,4.6,8.93,5.05,8.71,10.0,10.0,8.85,9.1,2.05,10.0,9.93,2.55,4.75,4.45,2.05,8.03,7.75,8.73,7.15,6.39,SWE
Zurich,Switzerland,3.18,7.53,4.6,8.43,8.93,7.53,8.94,9.55,8.13,2.0,8.58,4.83,7.68,8.95,4.1,8.88,8.95,5.13,7.73,7.98,9.63,6.46,6.67,CHE
Geneva,Switzerland,2.8,5.05,3.25,8.58,8.93,7.53,8.94,9.4,8.13,1.69,6.03,5.88,6.7,9.33,3.72,6.55,5.88,4.38,7.73,7.98,9.48,6.46,6.09,CHE
Boston,United States,6.93,8.43,6.33,6.85,2.45,9.03,5.76,2.58,4.83,3.77,4.98,4.68,7.9,10.0,9.69,5.35,8.35,6.18,6.97,6.18,8.88,9.23,6.81,USA
San Francisco,United States,6.1,9.03,2.58,7.53,2.45,9.03,5.76,2.35,4.83,2.85,5.73,1.68,6.93,9.78,10.0,3.18,5.35,8.58,6.97,6.18,8.43,6.46,6.3,USA
